100 266
71 33
41 T 32
61 D 4
59 G 36
69 T 37
16 D 52
9 G 29
92 T 16
13 G 60
98 T 64
53 T 10
20 T 58
39 D 54
44 D 39
77 T 25
4 T 5
18 G 56
79 T 86
63 G 5
35 T 70
11 G 71
43 T 68
78 T 86
65 T 54
60 G 34
91 G 97
32 D 66
14 G 39
10 G 38
30 D 76
32 T 36
40 D 38
47 G 51
64 D 68
72 G 31
89 D 6
74 G 52
93 D 68
44 T 7
64 G 31
53 T 57
3 G 10
91 T 58
17 G 59
64 T 85
72 G 70
61 T 3
15 D 53
22 G 70
33 G 95
56 D 73
70 D 64
10 D 35
89 G 18
9 T 13
36 D 3
62 T 69
8 D 24
10 T 67
51 G 87
60 D 59
74 T 65
55 T 0
21 D 47
48 G 55
32 D 76
61 D 75
79 G 93
96 G 30
81 D 1
44 D 95
74 G 28
73 T 32
77 G 40
87 D 93
38 G 47
5 T 98
88 G 67
77 D 39
64 D 55
68 G 32
36 D 56
30 G 55
99 D 53
48 D 67
17 D 85
41 T 98
55 D 50
45 D 62
35 T 1
70 G 14
87 G 24
32 T 9
96 T 85
36 D 13
95 G 96
62 G 85
83 G 68
67 G 62
28 T 72
39 G 37
61 D 6
41 T 12
67 T 90
88 D 44
46 T 41
24 T 30
0 D 21
63 D 10
41 D 86
73 T 28
49 G 71
70 T 34
31 D 69
2 D 71
41 T 43
56 D 75
86 G 76
33 G 59
71 G 60
98 T 60
39 D 46
74 G 29
67 T 65
16 G 71
78 D 59
81 G 89
14 G 41
36 T 34
54 T 31
61 T 95
20 G 23
22 G 32
31 G 55
96 T 21
84 G 55
5 T 61
83 T 97
85 G 6
80 D 11
99 G 55
23 D 16
78 G 76
35 D 8
4 D 21
95 D 3
56 D 11
84 G 70
18 T 43
39 T 24
58 G 78
21 T 83
51 T 71
53 G 24
79 G 16
21 D 70
12 T 29
33 G 31
20 D 51
0 T 49
6 D 52
75 T 5
88 T 20
0 G 65
42 D 71
50 G 17
7 T 66
57 T 38
20 G 34
83 G 10
2 T 31
76 G 63
30 T 94
23 T 96
3 T 14
61 T 44
98 T 78
27 G 66
34 D 67
11 G 70
4 G 90
25 G 44
20 D 36
77 D 24
39 T 23
78 D 80
0 T 12
43 D 92
79 T 96
45 D 4
79 G 45
46 G 98
13 G 34
65 D 75
11 G 85
48 T 15
63 D 79
31 G 42
58 D 13
26 D 83
33 T 82
17 T 62
28 T 24
51 T 59
30 D 65
47 D 60
61 T 34
71 T 27
88 D 4
85 T 33
83 D 51
56 D 46
68 D 9
79 T 73
38 D 80
28 G 6
88 D 62
24 T 69
85 T 77
62 G 96
75 T 6
34 D 87
90 T 5
18 D 33
96 T 91
75 G 63
13 D 14
8 D 87
30 T 21
97 D 48
31 G 81
13 T 51
23 G 34
25 T 72
9 T 89
76 G 71
79 D 8
77 T 20
65 T 37
69 T 39
12 D 85
99 G 28
64 D 95
41 T 9
59 D 13
66 D 7
67 D 95
25 D 77
8 D 90
23 G 19
72 T 29
7 T 81
17 G 0
43 T 62
9 T 28
74 G 31
55 D 10
46 G 87
67 G 88
30 G 11
43 T 85
26 T 91
35 D 49
63 D 37
3 T 60
61 D 32
84 G 91
