50 113
7 39
6 D 13
9 D 33
44 T 37
36 D 33
23 G 2
39 D 32
11 G 42
28 T 49
49 G 38
1 T 40
37 T 20
24 D 39
5 D 9
35 T 22
31 G 6
33 G 33
44 G 14
21 D 25
36 D 18
25 G 46
4 G 37
28 T 48
2 D 11
28 D 35
45 T 4
49 G 2
17 G 37
29 G 22
27 D 4
49 G 17
22 D 27
15 D 43
11 T 15
41 G 42
45 T 28
27 G 35
47 D 34
44 T 0
10 D 49
38 G 17
22 D 23
19 T 17
5 G 24
20 G 16
14 D 29
49 T 11
48 D 2
47 G 6
3 T 6
49 T 37
11 D 3
7 G 38
12 T 10
18 D 7
44 G 8
19 T 14
42 D 15
48 D 28
2 T 34
16 D 17
27 G 10
4 G 41
38 G 38
36 G 6
43 G 21
28 G 25
29 D 2
37 T 2
39 G 11
9 T 34
7 D 30
43 G 48
40 D 10
41 T 19
41 D 47
3 D 8
39 T 36
28 G 6
1 D 38
39 D 3
30 G 49
48 D 22
41 G 20
40 D 33
18 D 13
7 G 3
3 G 12
37 D 22
18 G 44
1 T 1
14 T 47
15 G 30
19 D 5
28 D 20
13 T 35
3 T 40
36 T 19
5 D 38
17 T 40
33 G 43
48 D 21
21 T 4
32 T 5
8 G 40
32 G 25
18 G 10
20 G 25
28 G 31
43 D 11
13 D 1
29 T 25
14 T 28
49 D 48
