50 120
26 44
3 D 1
13 G 39
29 T 8
44 T 12
44 G 1
18 T 28
35 T 26
38 G 14
46 T 5
43 D 49
45 G 48
23 T 24
39 G 6
25 T 38
26 T 2
14 T 17
27 D 3
26 D 15
9 D 30
7 D 8
26 T 40
12 T 17
28 D 20
1 G 41
30 G 21
21 T 32
42 G 12
35 T 34
47 G 38
17 G 3
39 T 39
49 D 46
0 T 30
39 G 44
48 T 15
25 D 24
31 D 12
34 T 36
15 T 42
14 D 19
47 G 24
13 D 5
18 D 8
30 D 48
2 D 48
8 D 1
36 D 33
18 G 2
49 G 11
14 G 1
42 T 2
16 T 48
40 T 1
17 T 31
11 G 47
21 D 42
43 G 36
30 D 25
21 G 25
17 T 32
0 D 40
7 G 33
36 G 35
20 D 29
45 T 15
20 T 32
35 T 0
25 D 20
35 T 7
20 D 40
27 G 37
34 T 43
45 D 16
11 D 4
44 G 22
45 T 19
41 G 6
3 G 49
8 D 35
32 D 18
24 D 29
8 G 43
2 G 36
43 G 25
11 G 8
7 G 44
17 D 38
43 G 32
9 D 48
17 G 41
22 G 9
27 G 24
44 D 37
24 D 26
21 D 11
24 G 8
8 T 7
0 G 3
19 G 23
8 D 9
29 T 20
24 T 41
15 T 7
6 G 0
34 G 30
16 G 11
8 T 27
25 T 19
33 D 20
45 G 23
31 G 3
26 T 46
33 T 43
39 G 19
17 T 20
44 G 34
36 T 24
18 D 26
27 D 7
37 G 0
