100 534
13 38
15 D 79
85 D 18
74 D 20
41 D 49
59 D 54
14 T 46
63 D 15
8 T 96
44 T 24
43 G 42
21 D 23
22 D 10
18 G 54
19 T 99
97 G 36
91 G 78
52 G 9
54 D 25
16 T 25
36 T 11
55 T 84
35 G 55
88 D 75
20 D 50
24 G 67
22 T 35
54 D 71
57 G 52
79 G 96
0 D 10
54 G 20
36 T 61
82 T 26
32 T 64
7 T 18
45 D 10
79 G 3
44 G 51
46 G 87
77 T 59
95 T 43
49 G 20
56 G 43
37 D 20
39 G 7
14 D 59
24 T 26
19 G 27
53 T 51
17 T 67
39 D 88
57 D 96
4 T 72
73 D 4
50 G 74
56 T 99
14 G 93
97 D 4
95 G 0
72 T 3
30 D 96
95 T 12
55 T 54
12 T 62
73 G 53
95 G 77
96 D 51
43 G 26
83 G 83
35 G 38
53 T 68
48 D 3
11 D 86
30 D 62
12 D 43
5 T 15
95 D 68
99 G 78
2 G 36
39 T 14
78 T 55
57 D 5
90 G 91
10 T 33
54 T 39
85 D 19
70 D 95
97 G 93
28 T 39
29 D 13
87 G 30
69 D 5
54 G 93
68 T 79
41 T 48
90 D 61
62 T 85
48 D 54
69 T 54
35 D 70
47 T 80
46 T 97
57 T 51
57 G 44
33 G 33
65 G 6
66 D 23
61 D 42
4 D 38
14 T 23
52 T 9
88 G 89
62 T 50
98 T 74
68 D 24
76 G 30
56 G 25
61 D 63
79 D 49
80 G 91
51 G 45
65 T 34
71 T 39
83 T 69
1 D 95
10 T 10
8 T 5
75 D 85
54 D 34
21 G 76
20 D 7
78 T 79
53 G 90
41 T 16
40 D 66
58 T 7
55 T 9
95 D 64
79 G 73
51 T 86
53 D 94
93 D 65
45 D 30
55 T 80
76 G 6
81 D 5
70 T 44
31 D 12
50 D 82
26 D 88
29 T 33
98 T 59
37 T 30
53 D 7
70 G 71
54 G 11
66 G 10
82 G 37
35 G 30
73 D 24
36 T 49
70 G 97
51 G 29
58 T 74
96 G 77
77 G 11
11 D 25
23 D 75
58 T 36
11 D 52
54 G 81
21 G 34
22 T 24
71 G 41
8 G 98
89 D 33
30 G 55
51 G 96
67 G 50
74 T 25
12 T 89
25 T 34
30 D 46
18 D 35
74 D 71
55 G 25
75 D 90
43 G 95
0 G 57
97 G 18
82 D 50
59 G 71
59 T 59
87 D 65
92 D 89
9 D 95
71 D 41
45 G 84
63 D 49
27 G 53
80 T 7
8 T 60
82 G 70
15 D 97
27 G 41
2 T 50
63 T 51
75 D 91
77 T 81
54 G 90
25 G 69
96 T 71
39 D 22
63 D 30
30 D 35
53 D 8
70 T 57
61 D 69
78 T 40
69 G 74
7 T 20
80 G 32
76 D 92
30 D 22
55 T 87
10 D 75
54 T 68
51 T 15
36 D 73
12 G 35
76 T 97
15 G 25
32 D 93
59 D 3
93 D 58
33 D 3
25 G 24
44 D 76
49 T 66
16 D 7
67 D 86
54 D 99
82 T 20
11 D 92
74 G 11
5 D 92
78 T 85
23 T 44
34 T 51
9 T 85
20 T 60
9 T 77
92 T 7
10 D 79
60 G 95
62 D 12
11 D 62
66 T 74
92 T 76
3 T 91
3 D 51
15 D 59
9 T 99
48 D 10
30 D 40
18 G 83
40 G 1
23 T 92
11 G 3
92 G 48
16 T 27
78 D 63
43 T 12
1 T 54
98 T 54
12 D 31
33 D 61
7 T 48
66 T 98
29 D 42
64 T 15
40 D 5
67 G 71
7 T 84
56 D 80
20 T 90
42 T 10
