100 222
44 30
95 G 23
74 T 32
10 G 84
71 G 86
74 T 0
15 D 63
2 T 31
51 T 19
83 D 46
29 G 49
47 G 67
61 G 63
69 G 45
64 D 63
9 G 99
96 T 35
78 T 88
27 T 99
6 D 22
85 D 26
64 T 20
43 G 10
47 G 27
27 T 54
41 G 36
29 G 42
96 T 76
12 T 87
66 G 20
76 G 30
97 G 66
83 G 56
53 T 63
84 T 59
71 T 23
27 D 70
48 T 63
92 T 81
62 D 82
57 G 66
50 G 67
83 G 87
0 G 59
66 D 93
39 G 67
66 D 58
50 G 37
27 D 14
43 G 97
28 T 72
93 G 60
92 G 17
59 T 70
29 G 31
44 D 9
23 G 52
99 G 98
27 T 4
87 D 84
48 T 51
7 D 27
20 G 66
14 G 41
4 D 60
67 G 63
85 G 28
67 D 73
45 T 95
81 D 2
95 D 1
92 D 85
46 G 37
2 D 41
92 T 28
70 T 28
76 D 96
74 D 41
79 T 36
97 G 57
70 D 83
39 G 49
28 G 85
37 D 27
33 D 61
89 T 20
70 D 32
1 G 79
76 D 81
47 G 42
72 D 41
82 T 84
61 G 52
48 G 43
28 T 27
86 G 76
20 D 39
44 T 0
66 T 51
40 D 8
4 T 83
86 D 87
88 D 34
89 G 7
50 G 13
41 G 46
1 T 17
94 G 7
28 G 32
43 G 81
60 G 86
84 T 97
30 T 50
7 G 18
19 T 51
84 T 21
44 G 54
93 D 59
12 D 12
25 G 25
15 G 34
28 T 44
41 D 79
44 D 3
31 G 65
25 T 46
7 D 3
35 G 45
0 T 70
76 G 45
48 T 44
4 D 13
88 G 64
43 G 43
92 T 75
24 G 67
15 T 67
13 D 55
11 D 91
45 G 48
77 G 39
97 T 5
90 G 20
85 T 43
94 T 5
84 D 5
22 G 24
22 T 40
78 T 64
31 D 11
48 T 60
16 T 23
37 T 20
49 D 48
36 D 55
33 G 12
37 D 28
12 D 57
24 G 87
83 T 17
34 T 92
64 T 91
57 D 79
44 T 43
76 T 57
82 G 83
97 G 64
98 G 32
14 D 60
99 G 57
61 G 43
84 T 55
12 G 0
19 T 65
6 D 69
51 T 24
89 T 1
42 T 14
18 D 90
18 G 92
8 T 90
54 T 12
75 G 19
30 T 95
79 G 88
7 G 28
95 G 78
99 T 96
69 D 46
55 D 66
96 D 94
27 D 53
16 G 30
82 G 1
46 D 72
74 G 64
32 T 8
2 T 36
4 T 17
78 D 0
32 D 60
83 G 32
36 G 58
15 D 88
25 D 38
30 T 6
98 T 74
99 T 49
7 T 14
69 G 75
20 G 44
99 G 73
34 T 7
63 G 72
71 T 45
4 G 39
72 G 60
87 D 3
45 T 51
24 T 5
28 G 17
63 D 77
67 G 75
